 2) + 17.921 us   |    } /* run_rebalance_domains */
 2)   0.036 us    |                                                                              __compute_runnable_contrib();
 2)   0.027 us    |                                                                              __compute_runnable_contrib();
 2)   0.028 us    |                                                                              account_entity_enqueue();
 2)   0.089 us    |                                                                              update_cfs_shares();
 2)   0.082 us    |                                                                              place_entity();
 2)   0.028 us    |                                                                              __enqueue_entity();
 2)   1.787 us    |                                                                            }
 2)               |                                                                            enqueue_entity() {
 2)   0.031 us    |                                                                              update_curr();
 2)   0.029 us    |                                                                              __compute_runnable_contrib();
 2)   0.035 us    |                                                                              account_entity_enqueue();
 2)   0.066 us    |                                                                              update_cfs_shares();
 2)   0.082 us    |                                                                              place_entity();
 2)   0.019 us    |                                                                              __enqueue_entity();
 2)   1.542 us    |                                                                            }
 2)   0.018 us    |                                                                            hrtick_update();
 2)   8.464 us    |                                                                          }
 2)   8.954 us    |                                                                        }
 2)               |                                                                        ttwu_do_wakeup() {
 2)               |                                                                          check_preempt_curr() {
 2)   0.053 us    |                                                                            resched_curr();
 2)   0.295 us    |                                                                          }
 2)   0.537 us    |                                                                        }
 2)   9.880 us    |                                                                      }
 2)   0.095 us    |                                                                      ttwu_stat();
 2)   0.033 us    |                                                                      _raw_spin_unlock_irqrestore();
 2) + 14.063 us   |                                                                    }
 2) + 14.270 us   |                                                                  }
 2) + 14.733 us   |                                                                }
 2) + 14.950 us   |                                                              }
 2)   0.033 us    |                                                              _raw_spin_unlock_irqrestore();
 2) + 15.871 us   |                                                            }
 2) + 16.358 us   |                                                          }
 2)   0.034 us    |                                                          _raw_spin_unlock_irqrestore();
 2) + 16.999 us   |                                                        }
 2) + 17.277 us   |                                                      }
 2) + 18.616 us   |                                                    }
 2) + 18.942 us   |                                                  }
 2) + 20.407 us   |                                                }
 2)               |                                                udp_queue_rcv_skb() {
 2)               |                                                  ipv4_pktinfo_prepare() {
 2)               |                                                    fib_compute_spec_dst() {
 2)   0.198 us    |                                                      fib_table_lookup();
 2)   0.568 us    |                                                    }
 2)               |                                                    dst_release() {
 2)               |                                                      call_rcu_sched() {
 2)   0.238 us    |                                                        __call_rcu.constprop.76();
 2)   0.479 us    |                                                      }
